Date,Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
06/11/2021,Apple Inc.,AAPL,162716620,5.97,31.61
06/11/2021,Microsoft Corporation,MSFT,78125940,5.68,55.3
06/11/2021,Amazon.com Inc.,AMZN,4446926,4.09,8.57
06/11/2021,Facebook Inc. Class A,FB,24854552,2.31,18.7
06/11/2021,Alphabet Inc. Class A,GOOGL,3119565,2.05,70.52
06/11/2021,Alphabet Inc. Class C,GOOG,2953814,1.99,70.65
06/11/2021,Berkshire Hathaway Inc. Class B,BRK.B,19660780,1.44,39.63
06/11/2021,Tesla Inc,TSLA,7994185,1.42,190.3
06/11/2021,NVIDIA Corporation,NVDA,6462430,1.39,115.68
06/11/2021,JPMorgan Chase & Co.,JPM,31400878,1.28,67.63
06/11/2021,Johnson & Johnson,JNJ,27316666,1.21,17.24
06/11/2021,Visa Inc. Class A,V,17563342,1.1,11.7
06/11/2021,UnitedHealth Group Incorporated,UNH,9788968,1.05,28.56
06/11/2021,Home Depot Inc.,HD,11029229,0.93,30.31
06/11/2021,PayPal Holdings Inc,PYPL,12185517,0.93,16.21
06/11/2021,Procter & Gamble Company,PG,25395964,0.9,3.84
06/11/2021,Mastercard Incorporated Class A,MA,9078971,0.89,13.54
06/11/2021,Walt Disney Company,DIS,18847470,0.87,40.43
06/11/2021,Bank of America Corp,BAC,78223510,0.84,98.35
06/11/2021,Adobe Inc.,ADBE,4963551,0.77,36.02
06/11/2021,Comcast Corporation Class A,CMCSA,47559010,0.73,23.34
06/11/2021,Exxon Mobil Corporation,XOM,43914860,0.73,95.67
06/11/2021,Netflix Inc.,NFLX,4599392,0.64,29.94
06/11/2021,Verizon Communications Inc.,VZ,42945250,0.64,-8.7
06/11/2021,salesforce.com inc.,CRM,9605655,0.62,22.54
06/11/2021,Intel Corporation,INTC,41886544,0.62,11.42
06/11/2021,Cisco Systems Inc.,CSCO,43717330,0.61,56.06
06/11/2021,Pfizer Inc.,PFE,58065404,0.6,30.22
06/11/2021,Coca-Cola Company,KO,40252936,0.57,15.6
06/11/2021,Abbott Laboratories,ABT,18431132,0.57,11.51
06/11/2021,AT&T Inc.,T,74064060,0.57,-7.17
06/11/2021,PepsiCo Inc.,PEP,14331764,0.56,20.41
06/11/2021,Chevron Corporation,CVX,20048832,0.56,59.87
06/11/2021,NIKE Inc. Class B,NKE,13225204,0.55,39.4
06/11/2021,AbbVie Inc.,ABBV,18291400,0.55,24.0
06/11/2021,Thermo Fisher Scientific Inc.,TMO,4078801,0.55,20.71
06/11/2021,Merck & Co. Inc.,MRK,26265318,0.54,1.23
06/11/2021,Accenture Plc Class A,ACN,6593828,0.53,61.66
06/11/2021,Walmart Inc.,WMT,14242780,0.52,5.83
06/11/2021,Broadcom Inc.,AVGO,4228662,0.52,53.28
06/11/2021,Eli Lilly and Company,LLY,8256935,0.51,78.34
06/11/2021,Wells Fargo & Company,WFC,42821508,0.51,130.53
06/11/2021,Texas Instruments Incorporated,TXN,9579771,0.48,27.21
06/11/2021,Costco Wholesale Corporation,COST,4584800,0.48,36.41
06/11/2021,McDonald's Corporation,MCD,7740268,0.47,18.54
06/11/2021,Danaher Corporation,DHR,6584990,0.47,21.44
06/11/2021,Medtronic Plc,MDT,13962952,0.46,20.03
06/11/2021,Qualcomm Inc,QCOM,11701061,0.44,26.41
06/11/2021,Philip Morris International Inc.,PM,16166733,0.42,31.81
06/11/2021,Honeywell International Inc.,HON,7203796,0.42,26.35
06/11/2021,United Parcel Service Inc. Class B,UPS,7502923,0.42,28.07
06/11/2021,Linde plc,LIN,5414977,0.41,41.1
