Date,Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
06/11/2021,Tencent Holdings Ltd.,700,11185704.0,1.26,
06/11/2021,Nestle SA,NESN,5275721.0,1.2,
06/11/2021,ASML Holding NV,ASML,740202.0,1.05,121.15
06/11/2021,Taiwan Semiconductor Manufacturing Co. Ltd.,2330,25316873.0,0.99,
06/11/2021,Alibaba Group Holding Ltd.,9988,26589840.0,0.93,
06/11/2021,Roche Holding AG,ROG,1307996.0,0.9,124.27
06/11/2021,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,3857753.0,0.81,31.69
06/11/2021,Toyota Motor Corp.,7203,23041535.0,0.78,
06/11/2021,AstraZeneca plc,AZN,2897500.0,0.66,14.63
06/11/2021,LVMH Moet Hennessy Louis Vuitton SE,MC,466601.0,0.63,96.63
06/11/2021,Novartis AG,NOVN,3969598.0,0.62,44.18
06/11/2021,Samsung Electronics Co. Ltd.,5930,4604148.0,0.54,
06/11/2021,Novo Nordisk A/S,NOVO,2970001.0,0.54,
06/11/2021,Shopify Inc.,SHOP,206117.0,0.53,53.42
06/11/2021,SAP SE,SAP,2084634.0,0.53,32.97
06/11/2021,Samsung Electronics Co. Ltd.,SMSN,173398.0,0.51,
06/11/2021,Royal Bank of Canada,RY,2666605.0,0.5,44.68
06/11/2021,AIA Group Ltd.,1299,22626211.0,0.49,
06/11/2021,SLCMT1142,N/A,,0.49,
06/11/2021,Sony Group Corp.,6758,2316984.0,0.49,
06/11/2021,Commonwealth Bank of Australia,CBA,3322134.0,0.47,0.0
06/11/2021,Meituan,3690,7268518.0,0.44,
06/11/2021,Siemens AG,SIE,1406147.0,0.43,
06/11/2021,Toronto-Dominion Bank,TD,3401478.0,0.43,61.46
06/11/2021,TotalEnergies SE,TTE,4538372.0,0.41,54.64
06/11/2021,Diageo plc,DGE,4297595.0,0.39,
06/11/2021,HSBC Holdings plc,HSBA,38242531.0,0.38,
06/11/2021,Keyence Corp.,6861,336774.0,0.38,
06/11/2021,MKTLIQ,N/A,,0.37,
06/11/2021,Sanofi,SAN,2036569.0,0.37,94.28
06/11/2021,CSL Ltd.,CSL,850790.0,0.34,80.44
06/11/2021,Allianz SE,ALV,769039.0,0.33,31.66
06/11/2021,GlaxoSmithKline plc,GSK,9264621.0,0.33,18.92
06/11/2021,BP plc,BP.,37255216.0,0.32,
06/11/2021,Royal Dutch Shell plc,RDSA,7532453.0,0.32,
06/11/2021,Schneider Electric SE,SU,990355.0,0.31,122.11
06/11/2021,Royal Dutch Shell plc,RDSB,7085110.0,0.3,
06/11/2021,Adyen NV,ADYEN,54045.0,0.29,
06/11/2021,Recruit Holdings Co. Ltd.,6098,2499514.0,0.29,
06/11/2021,Enbridge Inc.,ENB,3756386.0,0.28,55.42
06/11/2021,BHP Group Ltd.,BHP,5513213.0,0.28,9.36
06/11/2021,British American Tobacco plc,BATS,4269269.0,0.28,0.0
06/11/2021,Hong Kong Exchanges & Clearing Ltd.,388,2373055.0,0.28,
06/11/2021,Unilever plc,UNA,2597169.0,0.27,
06/11/2021,SoftBank Group Corp.,9984,2504107.0,0.27,
06/11/2021,Daimler AG,DAI,1573429.0,0.26,
06/11/2021,Mitsubishi UFJ Financial Group Inc.,8306,23202554.0,0.26,
06/11/2021,Airbus SE,AIR,1042607.0,0.26,96.56
06/11/2021,Bank of Nova Scotia,BNS,2265871.0,0.26,55.1
06/11/2021,Rio Tinto plc,RIO,2032816.0,0.25,5.24
06/11/2021,BASF SE,BAS,1713687.0,0.25,
