Date,Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
06/11/2021,Exxon Mobil Corporation,XOM,95532460,23.41,95.67
06/11/2021,Chevron Corporation,CVX,48625972,20.01,59.87
06/11/2021,ConocoPhillips,COP,19376824,4.72,148.35
06/11/2021,EOG Resources Inc.,EOG,13600581,4.53,163.93
06/11/2021,Schlumberger NV,SLB,35180436,4.47,109.83
06/11/2021,Marathon Petroleum Corporation,MPC,17559100,4.16,107.6
06/11/2021,Pioneer Natural Resources Company,PXD,6387637,4.13,121.92
06/11/2021,Phillips 66,PSX,12068371,4.12,62.29
06/11/2021,Kinder Morgan Inc Class P,KMI,53677732,3.87,43.28
06/11/2021,Williams Companies Inc.,WMB,33481018,3.5,49.61
06/11/2021,Valero Energy Corporation,VLO,11266184,3.41,99.95
06/11/2021,Occidental Petroleum Corporation,OXY,23154016,2.93,240.67
06/11/2021,ONEOK Inc.,OKE,12279849,2.73,126.29
06/11/2021,Hess Corporation,HES,7565626,2.59,121.79
06/11/2021,Halliburton Company,HAL,24522204,2.26,94.26
06/11/2021,Diamondback Energy Inc.,FANG,4988594,1.9,319.58
06/11/2021,Devon Energy Corporation,DVN,16417819,1.86,344.24
06/11/2021,Baker Hughes Company Class A,BKR,20048798,1.83,58.37
06/11/2021,Marathon Oil Corporation,MRO,21722844,1.17,299.77
06/11/2021,APA Corp.,APA,10417617,0.87,232.59
06/11/2021,Cabot Oil & Gas Corporation,COG,11015448,0.76,38.98
06/11/2021,NOV Inc.,NOV,10766858,0.65,61.99
06/11/2021,STATE STREET INSTITUTIONAL LIQ STATE STR,964WKM90,32626720,0.13,
06/11/2021,U.S. Dollar,CASH_USD,1947026,0.01,
06/11/2021,CME E MINI ENERGY SELECT SECTO SEP 2021,XAEU1,500,0.01,
