Date,Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
06/11/2021,NextEra Energy Inc.,NEE,25229358,16.19,16.65
06/11/2021,Duke Energy Corporation,DUK,9894174,8.5,8.69
06/11/2021,Southern Company,SO,13616787,7.24,5.59
06/11/2021,Dominion Energy Inc,D,10374023,6.65,-7.46
06/11/2021,Exelon Corporation,EXC,12569054,4.9,28.23
06/11/2021,American Electric Power Company Inc.,AEP,6428098,4.73,-5.67
06/11/2021,Sempra Energy,SRE,4052674,4.72,-0.84
06/11/2021,Xcel Energy Inc.,XEL,6922787,4.0,-12.27
06/11/2021,Public Service Enterprise Group Inc,PEG,6496807,3.37,9.91
06/11/2021,American Water Works Company Inc.,AWK,2334148,3.16,9.17
06/11/2021,WEC Energy Group Inc,WEC,4057352,3.15,-10.75
06/11/2021,Eversource Energy,ES,4417902,3.08,-7.54
06/11/2021,Consolidated Edison Inc.,ED,4409531,2.76,-1.7
06/11/2021,PPL Corporation,PPL,9896934,2.41,2.87
06/11/2021,DTE Energy Company,DTE,2491854,2.41,-8.82
06/11/2021,Edison International,EIX,4880585,2.41,11.53
06/11/2021,Ameren Corporation,AEE,3287118,2.29,2.46
06/11/2021,Entergy Corporation,ETR,2581009,2.27,-1.42
06/11/2021,FirstEnergy Corp.,FE,6996004,2.26,34.45
06/11/2021,AES Corporation,AES,8569861,1.94,25.33
06/11/2021,CMS Energy Corporation,CMS,3723268,1.93,-6.26
06/11/2021,CenterPoint Energy Inc.,CNP,7466742,1.61,23.7
06/11/2021,Evergy Inc.,EVRG,2948980,1.57,16.33
06/11/2021,Alliant Energy Corp,LNT,3217430,1.57,1.95
06/11/2021,Atmos Energy Corporation,ATO,1680813,1.41,-1.67
06/11/2021,NRG Energy Inc.,NRG,3148151,1.13,10.91
06/11/2021,NiSource Inc,NI,5054044,1.08,7.02
06/11/2021,Pinnacle West Capital Corporation,PNW,1453458,1.04,-21.46
06/11/2021,STATE STREET INSTITUTIONAL LIQ STATE STR,964WKM90,23123414,0.2,
06/11/2021,U.S. Dollar,CASH_USD,2084968,0.02,
06/11/2021,DT Midstream Inc.,DTM,30000,0.01,4874.0
